"","Year","Month","Day","Onset_time","Duration","Time_Max_Speed","Max_Speed","MJO_Phase","MJO_Mag","Event_Type","Flip2_Onset_Time","Flip2_Duration","Flip2_Time_Max_speed","Flip2_Max_Speed"
"1",2018,1,1,15.15,20.19,2,1.21,2,1.66,"Classic",9999,9999,9999,9999
"2",2018,1,2,1.21,9.56,8,0.71,2,1.43,"Classic",9999,9999,9999,9999
"3",2018,1,3,17.23,19.15,8,1.64,2,1.53,"Classic",9999,9999,9999,9999
"4",2018,1,4,19.98,3.66,22,0.95,2,1.53,"Interruption",4,4.31,6,1.19
"5",2018,1,5,19.05,15.73,3,1.48,2,1.72,"Classic",9999,9999,9999,9999
"6",2018,1,6,19.61,15.86,6,1.65,2,2.09,"Classic",9999,9999,9999,9999
"7",2018,1,7,21.27,5.3,0,0.7,2,2.15,"Interruption",6.33,7.48,11,1.04
"8",2018,1,8,2.38,6.39,6,1.07,2,2.07,"Classic",9999,9999,9999,9999
"9",2018,1,9,16.73,17.56,5,2.17,2,1.88,"Classic",9999,9999,9999,9999
"10",2018,1,10,21.78,10.16,2,0.68,2,1.52,"Classic",9999,9999,9999,9999
"11",2018,1,11,16.44,13.53,1,1.9,2,1.51,"Interruption",6.02,5.45,9,1.01
"12",2018,1,12,4.94,8.5,8,1.92,2,1.62,"Classic",9999,9999,9999,9999
"13",2018,1,13,20.76,4.39,23,1,2,1.47,"Interruption",2.54,10.83,6,1.2
"14",2018,1,14,19.62,4.76,22,0.99,3,1.6,"Interruption",4.03,7.26,7,1.22
"15",2018,1,15,4.02,6.86,7,0.61,3,1.55,"Classic",9999,9999,9999,9999
"16",2018,1,16,21.17,14.49,8,1.55,3,1.8,"Classic",9999,9999,9999,9999
"17",2018,1,17,22.13,4.72,0,1.23,4,1.87,"Interruption",6.46,5.88,10,1.13
"18",2018,1,18,19.79,17.02,0,1.6,4,1.96,"Classic",9999,9999,9999,9999
"19",2018,1,19,5.8,4.75,8,0.78,4,1.78,"Classic",9999,9999,9999,9999
"20",2018,1,20,12.69,2.36,14,0.11,4,1.7,"Interruption",1.4,11.2,5,2.4
"21",2018,1,21,0.05,12.31,6,1.64,4,1.51,"Classic",9999,9999,9999,9999
"22",2018,1,22,21.44,14.5,9,1.27,5,1.35,"Classic",9999,9999,9999,9999
"23",2018,1,23,20.19,4.91,23,1.08,5,1.45,"Interruption",5.76,3.08,7,0.44
"24",2018,1,24,16.8,4.17,19,0.5,5,1.8,"Interruption",0.17,12.52,5,1.92
"25",2018,1,25,23.08,11.14,4,0.96,5,2.23,"Classic",9999,9999,9999,9999
"26",2018,1,26,19.31,16.99,8,1.43,5,2.54,"Classic",9999,9999,9999,9999
"27",2018,1,27,22.89,12.91,9,1.48,6,3,"Classic",9999,9999,9999,9999
"28",2018,1,28,21.96,12.42,1,1.09,6,3.4,"Classic",9999,9999,9999,9999
"29",2018,1,29,21.93,12.93,7,2.11,6,3.75,"Classic",9999,9999,9999,9999
"30",2018,1,30,19.98,14.87,7,1.05,6,3.92,"Classic",9999,9999,9999,9999
"31",2018,1,31,21.27,13.26,1,2.62,6,3.93,"Classic",9999,9999,9999,9999
"32",2018,2,1,21.52,13.09,7,2.61,7,3.86,"Classic",9999,9999,9999,9999
"33",2018,2,2,21.15,13.72,1,2.23,7,3.54,"Classic",9999,9999,9999,9999
"34",2018,2,3,21.07,13.99,2,1.75,7,3.61,"Classic",9999,9999,9999,9999
"35",2018,2,4,19.71,15.65,1,0.82,7,3.77,"Classic",9999,9999,9999,9999
"36",2018,2,5,16.92,6.02,19,0.69,7,3.81,"Interruption",23.07,11.34,8,0.9
"37",2018,2,6,18.92,15.02,1,0.57,7,3.94,"Classic",9999,9999,9999,9999
"38",2018,2,7,19.55,15.13,7,1.72,7,3.9,"Classic",9999,9999,9999,9999
"39",2018,2,8,21.15,13.8,1,1.79,7,3.76,"Classic",9999,9999,9999,9999
"40",2018,2,9,23.17,10.52,5,2.37,7,3.39,"Classic",9999,9999,9999,9999
"41",2018,2,10,18.68,16.29,7,1.53,7,3.04,"Classic",9999,9999,9999,9999
"42",2018,2,11,23.22,11.8,9,1.82,7,3,"Classic",9999,9999,9999,9999
"43",2018,2,12,0.04,9.64,7,2.39,7,2.82,"Classic",9999,9999,9999,9999
"44",2018,2,13,19.16,5.43,22,1.57,7,2.4,"Interruption",3.25,5.37,6,1.39
"45",2018,2,14,22.36,12.61,8,1.15,7,2.35,"Classic",9999,9999,9999,9999
"46",2018,2,15,19.44,15.73,8,1.28,7,2.32,"Classic",9999,9999,9999,9999
"47",2018,2,16,5.29,6.21,9,1.3,7,2.37,"Classic",9999,9999,9999,9999
"48",2018,2,17,20.24,14.57,0,1.18,7,2.04,"Classic",9999,9999,9999,9999
"49",2018,2,18,20.32,15.11,0,1.27,7,1.68,"Classic",9999,9999,9999,9999
"50",2018,2,19,17.99,8.21,20,0.68,8,1.73,"Interruption",5.17,4.95,8,0.97
"51",2018,2,20,20.86,13.76,7,1.64,8,1.58,"Classic",9999,9999,9999,9999
"52",2018,2,21,22.19,8.78,2,0.89,1,1.54,"Interruption",7.01,5.07,10,0.68
"53",2018,2,22,23.96,10.51,3,1.46,1,1.65,"Classic",9999,9999,9999,9999
"54",2018,2,23,18.34,8,23,1.41,1,2.06,"Interruption",5.61,5.48,9,1.49
"55",2018,2,24,19.56,15.11,2,1.24,1,2.25,"Classic",9999,9999,9999,9999
"56",2018,2,25,17.67,3.85,19,0.43,2,2.17,"Interruption",1.23,9.22,8,1.01
"57",2018,2,26,17.56,2.64,19,0.25,2,2.01,"Interruption",22.46,11.54,7,1.47
"58",2018,2,27,17.25,15.77,5,1.11,2,1.85,"Classic",9999,9999,9999,9999
"59",2018,2,28,17.92,15.13,3,1.25,2,1.4,"Classic",9999,9999,9999,9999
"60",2018,3,1,16.76,19.04,1,1.51,2,1.25,"Classic",9999,9999,9999,9999
"61",2018,3,2,1.26,8.99,8,0.69,2,1.05,"Classic",9999,9999,9999,9999
"62",2018,3,3,16.57,18.36,20,1.21,3,1.22,"Classic",9999,9999,9999,9999
"63",2018,3,4,21.34,12.81,8,1.41,3,1.1,"Classic",9999,9999,9999,9999
"64",2018,3,5,16.6,18.6,8,1.01,3,1.26,"Classic",9999,9999,9999,9999
"65",2018,3,6,19.04,16.56,9,0.63,3,1.53,"Classic",9999,9999,9999,9999
"66",2018,3,7,19.77,14.6,1,1.46,3,1.83,"Classic",9999,9999,9999,9999
"67",2018,3,8,0.47,9.81,7,1.09,3,1.8,"Classic",9999,9999,9999,9999
"68",2018,3,9,18.9,16.24,8,1.06,3,1.73,"Classic",9999,9999,9999,9999
"69",2018,3,10,17.16,4.28,19,0.89,3,1.3,"Interruption",1.82,9.61,8,0.68
"70",2018,3,11,21.54,13.09,8,1.34,3,1.06,"Classic",9999,9999,9999,9999
"71",2018,3,12,17.83,9.77,0,1,3,1.01,"Interruption",6.66,3.74,9,0.36
"72",2018,3,13,15.49,18.05,7,1.01,3,0.89,"Classic",9999,9999,9999,9999
"73",2018,3,14,18.9,16.56,6,1.79,3,0.81,"Classic",9999,9999,9999,9999
"74",2018,3,15,21.15,13.69,7,2.43,4,0.84,"Classic",9999,9999,9999,9999
"75",2018,3,16,21.3,13.41,8,1.33,4,0.68,"Classic",9999,9999,9999,9999
"76",2018,3,17,20.57,13.93,3,1.37,3,0.59,"Classic",9999,9999,9999,9999
"77",2018,3,18,17.4,17.17,1,1.38,3,0.55,"Classic",9999,9999,9999,9999
"78",2018,3,19,19,12.38,4,1.51,4,0.31,"Classic",9999,9999,9999,9999
"79",2018,3,20,20.11,15.14,6,1.57,5,0.51,"Classic",9999,9999,9999,9999
"80",2018,3,21,20.68,13.43,6,1.85,5,0.76,"Classic",9999,9999,9999,9999
"81",2018,3,22,22.32,11.89,7,2.39,4,0.87,"Classic",9999,9999,9999,9999
"82",2018,3,23,22.99,11.25,4,1.12,4,0.95,"Classic",9999,9999,9999,9999
"83",2018,3,24,23.57,10.66,6,2.05,5,0.63,"Classic",9999,9999,9999,9999
"84",2018,3,25,21.08,6.16,0,1.59,6,0.83,"Interruption",5.53,3.68,8,0.39
"85",2018,3,26,19.21,17.25,5,1.79,6,1.1,"Classic",9999,9999,9999,9999
"86",2018,3,27,1.92,8.33,7,1.14,6,1.36,"Classic",9999,9999,9999,9999
