"","Year","Month","Day","Onset_time","Duration","Time_Max_Speed","Max_Speed","MJO_Phase","MJO_Mag","Event_Type","Flip2_Onset_Time","Flip2_Duration","Flip2_Time_Max_speed","Flip2_Max_Speed"
"1",2018,1,1,9.19,5.96,12,1.07,2,1.67,"Classic",9999,9999,9999,9999
"2",2018,1,2,11.35,13.86,15,1.82,2,1.46,"Classic",9999,9999,9999,9999
"3",2018,1,3,10.76,6.46,14,1.77,2,1.58,"Classic",9999,9999,9999,9999
"4",2018,1,4,12.37,7.6,17,1.64,2,1.52,"Interruption",23.64,4.36,2,1.37
"5",2018,1,5,8.31,10.74,16,0.91,2,1.7,"Classic",9999,9999,9999,9999
"6",2018,1,6,10.78,8.84,15,1.67,2,2.12,"Classic",9999,9999,9999,9999
"7",2018,1,7,11.48,9.79,16,1.8,2,2.23,"Interruption",2.57,3.76,4,0.35
"8",2018,1,8,13.81,7.07,17,1.46,2,2.2,"Interruption",22.04,4.34,1,0.41
"9",2018,1,9,8.77,7.96,12,1.37,2,2.09,"Classic",9999,9999,9999,9999
"10",2018,1,10,10.3,11.48,15,1.66,3,1.78,"Classic",9999,9999,9999,9999
"11",2018,1,11,7.94,8.5,13,2.44,3,1.8,"Classic",9999,9999,9999,9999
"12",2018,1,12,11.47,17.47,14,1.45,3,1.87,"Classic",9999,9999,9999,9999
"13",2018,1,13,13.44,7.32,18,2.84,3,1.78,"Classic",9999,9999,9999,9999
"14",2018,1,14,13.37,6.25,17,1.33,3,1.99,"Interruption",0.38,3.65,2,0.6
"15",2018,1,15,11.3,16.72,15,1.03,3,2,"Classic",9999,9999,9999,9999
"16",2018,1,16,10.88,10.3,18,0.68,3,2.23,"Classic",9999,9999,9999,9999
"17",2018,1,17,11.66,10.47,18,2.46,4,2.38,"Interruption",2.85,3.61,5,0.54
"18",2018,1,18,12.34,7.44,16,2.69,4,2.41,"Classic",9999,9999,9999,9999
"19",2018,1,19,12.81,17,3,1.29,4,2.26,"Classic",9999,9999,9999,9999
"20",2018,1,20,15.05,10.34,23,1.13,4,2.14,"Classic",9999,9999,9999,9999
"21",2018,1,21,12.6,11.45,17,2.78,4,1.98,"Classic",9999,9999,9999,9999
"22",2018,1,22,12.36,9.09,17,2.62,4,1.76,"Classic",9999,9999,9999,9999
"23",2018,1,23,11.95,8.24,16,1.11,5,1.75,"Interruption",1.1,4.66,3,0.92
"24",2018,1,24,8.84,7.96,13,1.96,5,2.02,"Interruption",20.97,3.2,23,0.29
"25",2018,1,25,12.69,10.4,17,1.16,5,2.33,"Classic",9999,9999,9999,9999
"26",2018,1,26,10.22,9.09,15,2.81,5,2.64,"Classic",9999,9999,9999,9999
"27",2018,1,27,12.29,10.59,15,0.7,5,3.08,"Classic",9999,9999,9999,9999
"28",2018,1,28,11.79,10.16,18,1.37,5,3.46,"Classic",9999,9999,9999,9999
"29",2018,1,29,10.38,11.56,13,1.47,6,3.73,"Classic",9999,9999,9999,9999
"30",2018,1,30,10.86,9.12,16,2.16,6,3.8,"Classic",9999,9999,9999,9999
"31",2018,1,31,10.84,10.43,15,2.23,6,3.79,"Classic",9999,9999,9999,9999
"32",2018,2,1,10.54,10.99,14,2.57,6,3.67,"Classic",9999,9999,9999,9999
"33",2018,2,2,10.61,10.54,17,2.33,7,3.37,"Classic",9999,9999,9999,9999
"34",2018,2,3,10.87,10.2,16,3.58,7,3.38,"Classic",9999,9999,9999,9999
"35",2018,2,4,11.06,8.65,15,3.17,7,3.51,"Classic",9999,9999,9999,9999
"36",2018,2,5,11.36,5.56,14,0.81,7,3.53,"Classic",9999,9999,9999,9999
"37",2018,2,6,10.4,8.52,14,2.82,7,3.64,"Classic",9999,9999,9999,9999
"38",2018,2,7,9.94,9.61,16,1.67,7,3.64,"Classic",9999,9999,9999,9999
"39",2018,2,8,10.68,10.47,15,3.12,7,3.46,"Classic",9999,9999,9999,9999
"40",2018,2,9,10.96,12.22,15,2,7,3.07,"Classic",9999,9999,9999,9999
"41",2018,2,10,9.69,8.99,15,2.7,7,2.72,"Classic",9999,9999,9999,9999
"42",2018,2,11,10.97,8.16,15,3.43,7,2.69,"Interruption",20.9,2.32,22,0.16
"43",2018,2,12,11.02,6.51,14,2.72,7,2.49,"Interruption",19.11,4.93,21,0.78
"44",2018,2,13,9.68,9.49,12,1.9,7,2.09,"Interruption",0.59,2.66,2,0.52
"45",2018,2,14,8.61,13.74,16,1.65,7,2.08,"Classic",9999,9999,9999,9999
"46",2018,2,15,10.97,8.47,14,1.71,7,2.09,"Classic",9999,9999,9999,9999
"47",2018,2,16,11.17,18.12,16,1.92,7,2.15,"Classic",9999,9999,9999,9999
"48",2018,2,17,11.5,8.74,16,1.4,7,1.82,"Classic",9999,9999,9999,9999
"49",2018,2,18,10.81,9.51,16,2.25,7,1.49,"Classic",9999,9999,9999,9999
"50",2018,2,19,11.43,6.56,15,2.17,8,1.49,"Interruption",2.19,2.98,4,0.27
"51",2018,2,20,10.12,10.75,13,1.56,8,1.38,"Classic",9999,9999,9999,9999
"52",2018,2,21,10.62,11.57,14,1.53,1,1.37,"Classic",9999,9999,9999,9999
"53",2018,2,22,12.07,11.89,16,2.26,1,1.57,"Classic",9999,9999,9999,9999
"54",2018,2,23,10.47,7.87,13,0.31,1,2.04,"Interruption",2.34,3.27,4,0.45
"55",2018,2,24,11.09,8.47,15,3.59,2,2.26,"Classic",9999,9999,9999,9999
"56",2018,2,25,10.68,6.99,14,1.74,2,2.17,"Interruption",21.52,3.71,23,0.28
"57",2018,2,26,10.44,7.11,14,2.13,2,2.06,"Classic",9999,9999,9999,9999
"58",2018,2,27,10.01,7.24,13,2.06,2,1.87,"Classic",9999,9999,9999,9999
"59",2018,2,28,9.02,8.9,14,2.12,2,1.48,"Classic",9999,9999,9999,9999
"60",2018,3,1,9.05,7.72,13,2.34,3,1.34,"Classic",9999,9999,9999,9999
"61",2018,3,2,11.8,13.46,15,2.35,3,1.12,"Classic",9999,9999,9999,9999
"62",2018,3,3,10.25,6.32,13,1.72,3,1.28,"Classic",9999,9999,9999,9999
"63",2018,3,4,10.92,10.42,15,2.51,3,1.15,"Classic",9999,9999,9999,9999
"64",2018,3,5,10.15,6.45,13,2.37,3,1.36,"Classic",9999,9999,9999,9999
"65",2018,3,6,11.2,7.84,15,1.94,3,1.62,"Classic",9999,9999,9999,9999
"66",2018,3,7,11.6,8.17,15,1.69,3,1.97,"Classic",9999,9999,9999,9999
"67",2018,3,8,10.37,14.1,14,2.11,3,1.92,"Classic",9999,9999,9999,9999
"68",2018,3,9,10.28,8.62,14,2.06,3,1.86,"Classic",9999,9999,9999,9999
"69",2018,3,10,11.14,6.03,14,1.92,3,1.39,"Interruption",21.44,4.38,23,0.47
